t,med_1424,med_1389,med_1408,med_1422,med_1378
19.1,59.75500107,59.74592545,59.76589966,59.78519821,59.75109863
19.2,59.77640152,59.74745881,59.76750183,59.78369904,59.74969864
19.3,59.77059937,59.74875299,59.76549911,59.78210068,59.75279999
19.4,59.76250076,59.75392912,59.76409912,59.77730179,59.75719833
19.5,59.76119995,59.75817106,59.76610184,59.77420044,59.76179886
19.6,59.77959824,59.76193712,59.76900101,59.7682991,59.76739883
19.7,59.76250076,59.77181818,59.76860046,59.76290131,59.77339935
19.8,59.75970078,59.77369757,59.76499939,59.75659943,59.77719879
19.9,59.75849915,59.78132098,59.76490021,59.75139999,59.78099823
20,59.76710129,59.78433713,59.76269913,59.74720001,59.78079987
